Date,provincia,Temp_Media,Precipitacion
2015-03-15,Granada,9.6,0.2
2015-03-15,Guadalajara,2.2,0
2015-03-15,Huelva,12.4,0
2015-03-15,Huesca,4.8,0.2
2015-03-15,Illes Balears,8.9,3.3
2015-03-15,Jaen,9.3,0
2015-03-15,La Rioja,2.8,0.7
2015-03-15,Las Palmas,16.1,0
2015-03-15,Leon,2.3,0.3
2015-03-15,Lleida,3.2,0.5
2015-03-15,Lugo,5.5,0
2015-03-15,Madrid,2.6,0
2015-03-15,Malaga,13,1
2015-03-15,Melilla,13.7,0
2015-03-15,Murcia,9.4,0.1
2015-03-15,Navarra,5.6,0.9
2015-03-15,Ourense,5.3,0
2015-03-15,Palencia,0.7,0
2015-03-15,Pontevedra,8.1,0
2015-03-15,Salamanca,2.7,0
2015-03-15,Santa Cruz De Tenerife,16.1,0
2015-03-15,Segovia,-0.4,0
2015-03-15,Sevilla,12,0
2015-03-15,Soria,1,0.2
2015-03-15,Sta. Cruz De Tenerife,15,0
2015-03-15,Tarragona,8.5,0.2
2015-03-15,Teruel,2.8,0.2
2015-03-15,Toledo,5.4,0
2015-03-15,Valencia,8.5,1.2
2015-03-15,Valladolid,2.5,0
2015-03-15,Zamora,2.9,0
2015-03-15,Zaragoza,6.2,0.1
2015-03-16,A Coruña,8.4,0.1
2015-03-16,Albacete,8.3,0
2015-03-16,Alicante,9.8,0
2015-03-16,Almeria,11.1,0.1
2015-03-16,Araba/Alava,6.1,0
2015-03-16,Asturias,7.1,0
2015-03-16,Avila,3.4,0
2015-03-16,Badajoz,10.2,0
2015-03-16,Baleares,8.4,3.8
2015-03-16,Barcelona,6.6,0
2015-03-16,Bizkaia,7.7,0
2015-03-16,Burgos,3.7,0.1
2015-03-16,Caceres,8.6,0
2015-03-16,Cadiz,12.9,0
2015-03-16,Cantabria,6.9,0
2015-03-16,Castellon,6.1,0
2015-03-16,Ceuta,14.6,0
2015-03-16,Ciudad Real,8.8,0
2015-03-16,Cordoba,10.1,0
2015-03-16,Cuenca,4.6,0.1
2015-03-16,Gipuzkoa,7.8,1.4
2015-03-16,Girona,5.2,3.6
2015-03-16,Granada,10.2,0.7
2015-03-16,Guadalajara,3.3,0
2015-03-16,Huelva,11.6,0
2015-03-16,Huesca,5.4,0
2015-03-16,Illes Balears,8.1,3.7
2015-03-16,Jaen,10,0
2015-03-16,La Rioja,5.6,1.7
2015-03-16,Las Palmas,15.8,0
2015-03-16,Leon,3.3,0
2015-03-16,Lleida,4.8,0.1
2015-03-16,Lugo,7,0
2015-03-16,Madrid,4,0
2015-03-16,Malaga,12.9,0
2015-03-16,Melilla,13.9,0
2015-03-16,Murcia,11.3,0
2015-03-16,Navarra,7,0
2015-03-16,Ourense,7,0
2015-03-16,Palencia,2.2,0
2015-03-16,Pontevedra,8.5,0
2015-03-16,Salamanca,4.3,0
2015-03-16,Santa Cruz De Tenerife,15.7,0
2015-03-16,Segovia,1.9,0
2015-03-16,Sevilla,11.9,0
2015-03-16,Soria,3,0
2015-03-16,Sta. Cruz De Tenerife,14.7,0
2015-03-16,Tarragona,8.2,0.4
2015-03-16,Teruel,4.1,0
2015-03-16,Toledo,6.9,0
2015-03-16,Valencia,8.6,0
2015-03-16,Valladolid,3.5,0
2015-03-16,Zamora,4.4,0
2015-03-16,Zaragoza,6.6,0
2015-03-17,A Coruña,10.4,0.1
2015-03-17,Albacete,8.3,6.8
2015-03-17,Alicante,8.8,2.5
2015-03-17,Almeria,11,5.3
2015-03-17,Araba/Alava,8.3,0
2015-03-17,Asturias,10,0
2015-03-17,Avila,5.7,0.6
2015-03-17,Badajoz,8.8,13.9
2015-03-17,Baleares,9.4,0
2015-03-17,Barcelona,8.4,0.1
2015-03-17,Bizkaia,11.1,0
2015-03-17,Burgos,5.7,0
2015-03-17,Caceres,8.6,14.1
2015-03-17,Cadiz,11.7,15.7
2015-03-17,Cantabria,9.9,0
2015-03-17,Castellon,6.5,0.5
2015-03-17,Ceuta,12,13.2
2015-03-17,Ciudad Real,9.1,4.3
2015-03-17,Cordoba,10.9,4.9
2015-03-17,Cuenca,6,1.3
2015-03-17,Gipuzkoa,11.7,0
2015-03-17,Girona,7.4,2.1
2015-03-17,Granada,10.9,4
2015-03-17,Guadalajara,5.8,0.2
2015-03-17,Huelva,10.1,18.4
2015-03-17,Huesca,6.8,0
2015-03-17,Illes Balears,9.4,0
2015-03-17,Jaen,10.1,1.7
2015-03-17,La Rioja,6.8,0
2015-03-17,Las Palmas,15.6,0.2
2015-03-17,Leon,5.3,0.1
2015-03-17,Lleida,6,0
2015-03-17,Lugo,9.3,0
2015-03-17,Madrid,6.5,0.1
2015-03-17,Malaga,11.5,18.6
2015-03-17,Melilla,14.6,35.7
2015-03-17,Murcia,9.6,10.3
2015-03-17,Navarra,8.5,0
2015-03-17,Ourense,8.2,0
2015-03-17,Palencia,4.7,0
2015-03-17,Pontevedra,10.3,0
2015-03-17,Salamanca,5.7,0.4
2015-03-17,Santa Cruz De Tenerife,15.3,0.3
2015-03-17,Segovia,5.2,0
2015-03-17,Sevilla,11.2,15.1
2015-03-17,Soria,4.7,0
2015-03-17,Sta. Cruz De Tenerife,14.2,0.6
2015-03-17,Tarragona,8.8,0.1
2015-03-17,Teruel,6,0.5
2015-03-17,Toledo,8.6,1.4
2015-03-17,Valencia,7.9,2.4
2015-03-17,Valladolid,5.4,0.1
2015-03-17,Zamora,5.9,0
2015-03-17,Zaragoza,8.1,0
2015-03-18,A Coruña,11.5,0
2015-03-18,Albacete,6.3,6.4
2015-03-18,Alicante,10.9,2.7
2015-03-18,Almeria,9.8,1.7
2015-03-18,Araba/Alava,8.7,6
2015-03-18,Asturias,9.8,0.3
2015-03-18,Avila,4.5,2.4
2015-03-18,Badajoz,9.6,0.9
